
Sandeep Sharma,4,0,21,0,5.25,9,1,0,0,0
JO Holder,4,0,25,3,6.25,10,2,0,2,0
T Natarajan,4,0,33,2,8.25,6,4,0,0,0
S Nadeem,4,0,30,1,7.50,4,2,0,1,1
Rashid Khan,4,0,22,0,5.50,11,1,1,0,0

Mohammed Siraj,4,0,28,2,7.00,14,3,1,3,0
NA Saini,3.4,0,31,0,8.45,7,5,0,0,0
Washington Sundar,2,0,21,0,10.50,4,2,1,0,1
A Zampa,4,0,12,1,3.00,14,0,0,1,0
YS Chahal,4,0,24,1,6.00,7,0,1,0,0
MM Ali,1,0,4,0,4.00,3,0,0,0,0
S Dube,1,0,7,0,7.00,2,1,0,0,0

Sandeep Sharma,4,0,21,0,5.25,9,1,0,0,0
JO Holder,4,0,25,3,6.25,10,2,0,2,0
T Natarajan,4,0,33,2,8.25,6,4,0,0,0
S Nadeem,4,0,30,1,7.50,4,2,0,1,1
Rashid Khan,4,0,22,0,5.50,11,1,1,0,0

Mohammed Siraj,4,0,28,2,7.00,14,3,1,3,0
NA Saini,3.4,0,31,0,8.45,7,5,0,0,0
Washington Sundar,2,0,21,0,10.50,4,2,1,0,1
A Zampa,4,0,12,1,3.00,14,0,0,1,0
YS Chahal,4,0,24,1,6.00,7,0,1,0,0
MM Ali,1,0,4,0,4.00,3,0,0,0,0
S Dube,1,0,7,0,7.00,2,1,0,0,0

TA Boult,4,0,30,3,7.50,12,6,0,0,0
JJ Bumrah,4,0,28,0,7.00,8,3,0,0,0
J Yadav,4,0,25,1,6.25,7,1,0,0,0
NM Coulter-Nile,4,0,29,2,7.25,10,3,1,1,0
KH Pandya,3,0,30,0,10.00,3,1,2,1,0
KA Pollard,1,0,13,0,13.00,2,1,1,1,0

R Ashwin,4,0,28,0,7.00,8,2,1,0,0
K Rabada,3,0,32,1,10.66,6,5,1,0,0
A Nortje,2.4,0,25,2,9.37,6,3,1,0,0
MP Stoinis,2,0,23,1,11.50,3,1,2,0,0
AR Patel,4,0,16,0,4.00,11,1,0,0,0
P Dubey,3,0,29,0,9.66,5,2,2,0,0

Sandeep Sharma,4,0,30,1,7.50,7,4,0,0,0
JO Holder,4,0,50,1,12.50,6,8,1,0,0
S Nadeem,4,0,48,0,12.00,4,3,2,0,2
Rashid Khan,4,0,26,1,6.50,4,0,0,0,0
T Natarajan,4,0,32,0,8.00,6,1,1,3,0

R Ashwin,3,0,33,0,11.00,4,2,2,2,0
K Rabada,4,0,29,4,7.25,12,1,2,2,0
A Nortje,4,0,36,0,9.00,10,4,2,0,0
MP Stoinis,3,0,26,3,8.66,5,2,1,1,0
AR Patel,4,0,33,1,8.25,6,3,1,0,0
P Dubey,2,0,14,0,7.00,3,0,1,0,0

Sandeep Sharma,4,0,21,0,5.25,9,1,0,0,0
JO Holder,4,0,25,3,6.25,10,2,0,2,0
T Natarajan,4,0,33,2,8.25,6,4,0,0,0
S Nadeem,4,0,30,1,7.50,4,2,0,1,1
Rashid Khan,4,0,22,0,5.50,11,1,1,0,0

Mohammed Siraj,4,0,28,2,7.00,14,3,1,3,0
NA Saini,3.4,0,31,0,8.45,7,5,0,0,0
